,0
m_o_m_e_l___p_i_t_c_h_tmean,185.78807794380344
m_o_m_e_l___p_i_t_c_h_variation,0.0832838610184409
m_o_m_e_l___p_i_t_c_h_iqr,26.768407777275684
m_o_m_e_l___p_i_t_c_h_tmax,205.96873693816562
m_o_m_e_l___p_i_t_c_h_tmin,159.57909301840968
L_2_L_1_tstd,4.3390273165628095
L_2_L_1_tmean,-0.537585398793798
L_2_L_1_variation,-7.657132716483979
L_2_L_1_iqr,7.0577537990965915
L_2_L_1_tmax,6.5138967965643815
L_2_L_1_tmin,-6.3696408820764105
L_2_c_L_1_c_tstd,4.3390273165628095
L_2_c_L_1_c_tmean,-0.537585398793798
L_2_c_L_1_c_variation,-7.657132716483979
L_2_c_L_1_c_iqr,7.0577537990965915
L_2_c_L_1_c_tmax,6.5138967965643815
L_2_c_L_1_c_tmin,-6.3696408820764105
L_1_c_L_F_3_c_tstd,9.549535569080149
L_1_c_L_F_3_c_tmean,43.39384203603491
L_1_c_L_F_3_c_variation,0.20877351424661844
L_1_c_L_F_3_c_iqr,14.414086745820157
L_1_c_L_F_3_c_tmax,56.19473281595707
L_1_c_L_F_3_c_tmin,29.953767665303694
L_1_L_F_3_tstd,10.454249499878383
L_1_L_F_3_tmean,46.23643085597806
L_1_L_F_3_variation,0.21450124307995233
L_1_L_F_3_iqr,15.156537203310613
L_1_L_F_3_tmax,61.62700090892907
L_1_L_F_3_tmin,31.713719450740935
S_L_F_tstd,3.706333762002863
S_L_F_tmean,-33.01099342090807
S_L_F_variation,-0.10651412068035006
S_L_F_iqr,2.6623974875686187
S_L_F_tmax,-25.144657317897305
S_L_F_tmin,-38.47272256899226
C_1_tstd,29.950142438544027
C_1_tmean,62.523895364596584
C_1_variation,0.4544374553119933
C_1_iqr,45.14619364760231
C_1_tmax,109.99816782194614
C_1_tmin,25.40489197817604
S_p_e_c_t_r_a_l_ _B_a_l_a_n_c_e_tstd,7.0314811651962685
S_p_e_c_t_r_a_l_ _B_a_l_a_n_c_e_tmean,-3.0454557136456715
S_p_e_c_t_r_a_l_ _B_a_l_a_n_c_e_variation,-2.1903614332953563
S_p_e_c_t_r_a_l_ _B_a_l_a_n_c_e_iqr,9.885180693001427
S_p_e_c_t_r_a_l_ _B_a_l_a_n_c_e_tmax,8.22287219593324
S_p_e_c_t_r_a_l_ _B_a_l_a_n_c_e_tmin,-15.191362988051825
S_L_F_6_D_._1_tstd,2.1287229589850547e-28
S_L_F_6_D_._1_tmean,-1.6931727723483537e-12
S_L_F_6_D_._1_variation,-1.192721705868715e-16
S_L_F_6_D_._1_iqr,0.0
S_L_F_6_D_._1_tmax,-1.693172772348354e-12
S_L_F_6_D_._1_tmin,-1.693172772348354e-12
S_L_F_6_D_._2_tstd,1.089906155000348e-25
S_L_F_6_D_._2_tmean,8.775025552861326e-10
S_L_F_6_D_._2_variation,1.1783165296357796e-16
S_L_F_6_D_._2_iqr,0.0
S_L_F_6_D_._2_tmax,8.775025552861325e-10
S_L_F_6_D_._2_tmin,8.775025552861325e-10
S_L_F_6_D_._3_tstd,0.0
S_L_F_6_D_._3_tmean,-1.749538253172534e-07
S_L_F_6_D_._3_variation,-0.0
S_L_F_6_D_._3_iqr,0.0
S_L_F_6_D_._3_tmax,-1.749538253172534e-07
S_L_F_6_D_._3_tmin,-1.749538253172534e-07
S_L_F_6_D_._4_tstd,3.5714044887051404e-21
S_L_F_6_D_._4_tmean,1.6647790187182585e-05
S_L_F_6_D_._4_variation,2.0351841000649932e-16
S_L_F_6_D_._4_iqr,0.0
