"file","line","function_name","old_name","category","new_name","unit","notes"
"ssff_c_assp_rmsana.R",138,"trk_rmsana","RMS[dB]","spectral","RMS[dB]","dB","No change needed"
"ssff_python_snack_formant.R",269,"trk_snackf","DYNAMIC","spectral","DYNAMIC","","No change needed"
"ssff_c_assp_zcrana.R",158,"trk_zcrana","ZCR[Hz]","spectral","ZCR[Hz]","Hz","No change needed"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Jitter (ddp)","voice_quality","Jitter_DDP[%]","%","add unit, remove parentheses"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Jitter (local, absolute)","voice_quality","Jitter_local_abs[us]","us","add unit, remove parentheses"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Jitter (local)","voice_quality","Jitter_local[%]","%","add unit, remove parentheses"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Jitter (ppq5)","voice_quality","Jitter_PPQ5[%]","%","add unit, remove parentheses"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Jitter (rap)","voice_quality","Jitter_RAP[%]","%","add unit, remove parentheses"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Shimmer (apq11)","voice_quality","Shimmer_APQ11[%]","%","add unit, remove parentheses"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Shimmer (apq3)","voice_quality","Shimmer_APQ3[%]","%","add unit, remove parentheses"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Shimmer (apq5)","voice_quality","Shimmer_APQ5[%]","%","add unit, remove parentheses"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Shimmer (dda)","voice_quality","Shimmer_DDA[%]","%","add unit, remove parentheses"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Shimmer (local, dB)","voice_quality","Shimmer_local[dB]","dB","add unit, remove parentheses"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Shimmer (local)","voice_quality","Shimmer_local[%]","%","add unit, remove parentheses"
